Participant,Epsilon,Accuracy,Noise
P1,0.7937300635355817,0.947002939224424,2.0
P1,0.7937300635355817,0.9565980847634399,2.0
P1,0.7937300635355817,0.9668872665212856,2.0
P1,0.7937300635355817,0.9669365696406561,2.0
P1,0.7937300635355817,0.9698682089693752,2.0
P1,1.0957249190670417,0.947856262444297,1.5
P1,1.0957249190670417,0.9582061249644449,1.5
P1,1.0957249190670417,0.9668152081160519,1.5
P1,1.0957249190670417,0.9708884042855789,1.5
P1,1.0957249190670417,0.9780866597136626,1.5
P1,1.9318421229514895,0.9553048260168768,1.0
P1,1.9318421229514895,0.9683663601023987,1.0
P1,1.9318421229514895,0.9710590689295534,1.0
P1,1.9318421229514895,0.9715900255996966,1.0
P1,1.9318421229514895,0.9780563193325116,1.0
P1,41.84281090761933,0.9679036692898455,0.5
P1,41.84281090761933,0.9688062956290888,0.5
P1,41.84281090761933,0.9695079169432066,0.5
P1,41.84281090761933,0.9718403337441927,0.5
P1,41.84281090761933,0.9771726557314876,0.5
P2,0.7937300635355817,0.947037072153219,2.0
P2,0.7937300635355817,0.9478183369678581,2.0
P2,0.7937300635355817,0.9551645017540533,2.0
P2,0.7937300635355817,0.9699630226604722,2.0
P2,0.7937300635355817,0.9705622451882052,2.0
P2,1.0957249190670417,0.9563174362377928,1.5
P2,1.0957249190670417,0.9578799658670712,1.5
P2,1.0957249190670417,0.9679908978856547,1.5
P2,1.0957249190670417,0.9694851616573433,1.5
P2,1.0957249190670417,0.9770550867545273,1.5
P2,1.9318421229514895,0.9663032141841282,1.0
P2,1.9318421229514895,0.966405612970513,1.0
P2,1.9318421229514895,0.9679757276950792,1.0
P2,1.9318421229514895,0.9705774153787807,1.0
P2,1.9318421229514895,0.9784697070256945,1.0
P2,41.84281090761933,0.9701223096615151,0.5
P2,41.84281090761933,0.9710856167630606,0.5
P2,41.84281090761933,0.9713700578363516,0.5
P2,41.84281090761933,0.9716924243860814,0.5
P2,41.84281090761933,0.9798160614392718,0.5
